Index	Date	Time	Readings (øF)	Type
231	10/4/2013	10:10:00 PM	32.1	
232	10/4/2013	10:45:00 PM	32	
233	10/4/2013	11:20:00 PM	31.9	
234	10/4/2013	11:55:00 PM	31.8	
235	10/5/2013	12:30:00 AM	31.8	
236	10/5/2013	1:05:00 AM	31.7	
237	10/5/2013	1:40:00 AM	31.7	
238	10/5/2013	2:15:00 AM	31.6	
239	10/5/2013	2:50:00 AM	31.7	
240	10/5/2013	3:25:00 AM	31.7	
241	10/5/2013	4:00:00 AM	31.7	
242	10/5/2013	4:35:00 AM	31.7	
243	10/5/2013	5:10:00 AM	31.7	
244	10/5/2013	5:45:00 AM	31.7	
245	10/5/2013	6:20:00 AM	31.7	
246	10/5/2013	6:55:00 AM	31.7	
247	10/5/2013	7:30:00 AM	31.8	
248	10/5/2013	8:05:00 AM	32	
249	10/5/2013	8:40:00 AM	32.1	
250	10/5/2013	9:15:00 AM	32.1	
251	10/5/2013	9:50:00 AM	32.1	
252	10/5/2013	10:25:00 AM	32.1	
253	10/5/2013	11:00:00 AM	32.1	
254	10/5/2013	11:35:00 AM	32.2	
255	10/5/2013	12:10:00 PM	32.3	
256	10/5/2013	12:45:00 PM	32.3	
257	10/5/2013	1:20:00 PM	32.4	
258	10/5/2013	1:55:00 PM	32.4	
259	10/5/2013	2:30:00 PM	32.6	
260	10/5/2013	3:05:00 PM	32.6	
261	10/5/2013	3:40:00 PM	32.6	
262	10/5/2013	4:15:00 PM	32.7	
263	10/5/2013	4:50:00 PM	32.8	
264	10/5/2013	5:25:00 PM	32.7	
265	10/5/2013	6:00:00 PM	33	
266	10/5/2013	6:35:00 PM	33	
267	10/5/2013	7:10:00 PM	32.8	
268	10/5/2013	7:45:00 PM	32.8	
269	10/5/2013	8:20:00 PM	33	
270	10/5/2013	8:55:00 PM	33.1	
271	10/5/2013	9:30:00 PM	33.2	
272	10/5/2013	10:05:00 PM	33.1	
273	10/5/2013	10:40:00 PM	33.1	
274	10/5/2013	11:15:00 PM	33.3	
275	10/5/2013	11:50:00 PM	33.3	
276	10/6/2013	12:25:00 AM	33.5	
277	10/6/2013	1:00:00 AM	33.7	
278	10/6/2013	1:35:00 AM	33.8	
279	10/6/2013	2:10:00 AM	33.8	
280	10/6/2013	2:45:00 AM	34	
281	10/6/2013	3:20:00 AM	34.1	
282	10/6/2013	3:55:00 AM	34	
283	10/6/2013	4:30:00 AM	34.2	
